id,name,street,postal_code,city,latitude,longitude
0,Dépôt, 600 Rue des Madeleines,77100, Mareuil-lès-Meaux,48.934926,2.874246
1,PHARMACIE DE LA POSTE,2 All. de la Poste,77178,Saint-Pathus,49.070347,2.801769
2,Pharmacie Quer,168 Rue du Général de Gaulle,77230,Dammartin-en-Goële,49.051627,2.671449
3,Pharmacie Potellet-Collard,2 bis Rue des Hortensias,77160,Chenoise-Cucharmoy,48.616327,3.197391
4,Pharmacie Desabres,58 Bis Rue Victor Clairet,77910,Varreddes,49.004524,2.928761
5,PHARMACIE DU PARC,4 Avenue du Parc,77124,Villenoy,48.94406,2.864255
6,Pharmacie Lefeuvre-Garriot,34 Av. de Senlis,60800,Crépy-en-Valois,49.232469,2.878542
7,Pharmacie de l'Olivier,35 Rue du Docteur Roux,77450,Montry,48.886352,2.824806
8,Pharmacie du Pays de l'Ourcq,2 Rue Jean Jaurès,77440,Lizy-sur-Ourcq,49.024825,3.020362
9,Pharmacie de Pontcarré,85 Grande Rue,77135,Pontcarré,48.796652,2.705915
10,Pharmacie du Faubourg,58 Rue Fbg Saint-Nicolas,77100,Meaux,48.941582,2.892441
11,Pharmacie principale de Mareuil - Elsie Santé,30 mail Grande Haie,77100,Mareuil lès Meaux,48.93615,2.876124
12,Pharmacie de l'Église,3 Rue Maréchal Joffre,77470,Trilport,48.957825,2.945749
13,Pharmacie Des Templiers,38 Rue des Caillets,77120,Coulommiers,48.817297,3.091134
14,Pharmacie du Faubourg,18 Rue du Faubourg,77260,La Ferté-sous-Jouarre,48.948053,3.132662
15,Pharmacie Vauchier,18 Rue du Général de Gaulle,77174,Villeneuve-le-Comte,48.813409,2.829504
16,PHARMACIE LEFEBVRE TOULET KAREN,5 Rue de la Couture,77510,Villeneuve-sur-Bellot,48.861924,3.341367
17,Pharmacie wellpharma Principale,4 Bd de la Marne,77120,Coulommiers,48.804265,3.091357
18,Pharmacie des Remparts,6 Rue Charles de Gaulle,60800,Crépy-en-Valois,49.234527,2.887277
19,Pharmacie de Saint-Jean - Mr et Mme Poisson,15 bis Rue Raymond Poincaré,77660,Saint-Jean-les-Deux-Jumeaux,48.950984,3.021592
20,Pharmacie de l'Hotel de Ville,1 Pl. de l'Hôtel de ville,77260,La Ferté-sous-Jouarre,48.95022,3.129599
21,Pharmacie Delahaye et Servais,16 Rue de la Libération,60620,Betz,49.156262,2.954138
22,Pharmacie Beaujean Dominique,14 Rue de Meaux,77515,Saint-Augustin,48.793845,3.023811
23,Pharmacie de St Mard Elsie,24 Av. de la Font du Berger,77230,Saint-Mard,49.036117,2.684093
24,Pharmacie Parisot,26 Grande Rue,77580,Guérard,48.824218,2.957423
25,Pharmacie du Breon,99 Rue Bertaux,77610,Fontenay-Trésigny,48.711638,2.856476
26,Pharmacie de l'Ourcq,2 Pl. du Marché,77840,Crouy-sur-Ourcq,49.090488,3.075164
27,Pharmacie Parapharmacie des Sources,46 Rue du Plessis,77178,Saint-Pathus,49.07753,2.783077
28,Pharmacie de la Pierre Collinet,9 Rue Guillaume Briçonnet,77100,Meaux,48.94793,2.895375
29,Pharmacie d'Ile-de-France,"ZAC vaux, 4 Pl. de l'Île de France",77120,Coulommiers,49.046389,2.662412
30,PHARMACIE RATSIMBAZAFY,2 Rue de la Belle Étoile,77230,Longperrier,49.046389,2.662412
31,Pharmacie Dufour,4 Pl. de la République,60300,Baron,49.172116,2.733907
32,Pharmacie de Boissy,4 Rue de Rebais,77169,Boissy-le-Châtel,48.825186,3.14417
33,Pharmacie du Centre,9 Rue de Paris,77220,Tournan-en-Brie,48.740163,2.764796
34,Aprium Pharmacie St Soupplets,35 Rue du Bourget,77165,Saint-Soupplets,49.037219,2.804373
35,Pharmacie Khin de St Germain sur Morin,20 Rue de Paris,77860,Saint-Germain-sur-Morin,48.881874,2.850669
36,Pharmacie ROSSET,56 Av. de Verdun,77470,Trilport,48.957707,2.951751
37,Pharmacie Godart,7 Rue Margueritte Perey,77610,Fontenay-Trésigny,48.706751,2.868672
38,Pharmacie Branger,8 Rue Marcel Sembat,77390,Verneuil-l'Étang,48.642802,2.835865
39,Pharmacie du Pont de la Ville,4 Rue de la Pêcherie,77120,Coulommiers,48.812503,3.083268
40,Pharmacie Beauval,17 Allée Jean Louis Barrault,77100,Meaux,48.952374,2.912741
41,Pharmacie Centrale de Claye,60 Rue Jean Jaurès,77410,Claye-Souilly,48.945258,2.686254
42,Pharmacie Darras,26 Rue Couperin,77390,Chaumes-en-Brie,48.665103,2.840983
43,Pharmacie Peda,32 Rue Paul Valentin,77410,Annet-sur-Marne,48.926018,2.71975
44,Pharmacie de la Mairie,60 Rue Charles de Gaulle,77720,Mormant,48.60694,2.890953
45,Ma Pharmacie de Bailly,14 Bd des Sports,77700,Bailly-Romainvilliers,48.849982,2.81965
46,Pharmacie Lcce -Pharmacie du centre,80 Rue du Général Leclerc,77450,Esbly,48.900584,2.811949
47,Pharmacie De Mouroux,331 Av. du Général de Gaulle,77120,Mouroux,48.825365,3.037302
48,Pharmacie De La Gare,5 place Révolution,77680,Roissy en Brie,48.796146,2.650341
49,PHARMACIE PRINCIPALE,26 Rue de Paris,77220,Gretz-Armainvilliers,48.740172,2.738448
50,Pharmacie de Acy en Multien,36 Rue de la Libération,60620,Acy-en-Multien,49.156426,2.954135
