Test
1,Pharmacie Principale,53 Rue nationale,60800,Crépy-en-Valois
2,Pharmacie de Magny,40 Rue de la Clef des Champs,77700,Magny-le-Hongre
3,Pharmacie Avicenne,33 Rue d'Esbly,77700,Coupvray
4,Pharmacie Lepesme,2-4 Pl. Charles de Gaulle,77540,Rozay-en-Brie
5,PHARMACIE LEFEBVRE TOULET KAREN,5 Rue de la Couture,77510,Villeneuve-sur-Bellot
6,Pharmacie des Ormes,8 Rue Georges Faroy,77515,Faremoutiers
7,Pharmacie de l'Olivier,35 Rue du Docteur Roux,77450,Montry
8,Pharmacie du Faubourg,58 Rue Fbg Saint-Nicolas,77100,Meaux
9,PHARMACIE DU PARC,4 Avenue du Parc,77124,Villenoy
10,Aprium Pharmacie St Soupplets,35 Rue du Bourget,77165,Saint-Soupplets
