id,latitude,longitude
PHARMACIE DU PARC,48.94406,2.864255
Pharmacie Lcce -Pharmacie du centre,48.900584,2.811949
Pharmacie de l'Hotel de Ville,48.95022,3.129599
Pharmacie Godart,48.704969,2.87494
Pharmacie de Acy en Multien,49.102413,2.954541
Pharmacie Principale,49.236792,2.887742
Pharmacie Dufour,49.172116,2.733907
Pharmacie De Mouroux,48.826948,3.034279
Pharmacie Forum Santé de Rebais SELAS,48.847628,3.231976
Pharmacie du Breon,48.711638,2.856476
Pharmacie des Remparts,49.234527,2.887277
Pharmacie ROSSET,48.957707,2.951751
Pharmacie Parisot,48.820937,2.958824
Pharmacie du Haudouin,49.141267,2.797762
La Pharmacie de Guignes,48.630919,2.80994
Pharmacie Khin de St Germain sur Morin,48.881874,2.850669
Pharmacie de Beton-Bazoches,48.701927,3.24437
Pharmacie Centrale Noël,48.813526,3.083797
Grande Pharmacie Du centre,49.072507,2.676166
Pharmacie Avicenne,48.894811,2.794229
Pharmacie de St Mard Elsie,49.55403,5.53427
Pharmacie de Chessy,48.880415,2.762341
PHARMACIE DE JUILLY,49.014653,2.708968
PHARMACIE PRINCIPALE,48.739193,2.743775
Pharmacie de Quincy-Voisins,48.900976,2.876766
Pharmacie principale de Mareuil - Elsie Santé,48.93615,2.876124
PHARMACIE DU MARCHÉ,48.85918,2.90743
Pharmacie Lepesme,48.683388,2.957143
Pharmacie de la Gare,48.900584,2.811949
