origin_id,destination_id,distance_km
1,2,58.69404
1,3,48.46403
1,4,96.86225999999999
1,5,66.71458
1,6,68.5492
1,7,66.0727
1,8,39.187110000000004
1,9,38.83936
1,10,28.71339
2,1,64.61141
2,3,5.84413
2,4,31.20504
2,5,45.22968
2,6,21.16852
2,7,3.15298
2,8,14.76993
2,9,12.31741
2,10,25.14547
3,1,51.021440000000005
3,2,5.17186
3,4,33.81657
3,5,45.83128
3,6,21.2937
3,7,4.11712
3,8,15.01787
3,9,9.248610000000001
3,10,21.00947
4,1,96.33787
4,2,31.097759999999997
4,3,33.633089999999996
4,5,44.3891
4,6,17.87026
4,7,31.02191
4,8,40.35555
4,9,41.35136
4,10,54.08073
5,1,66.53847
5,2,45.05417
5,3,45.81456
5,4,44.55341000000001
5,6,30.42221
5,7,43.203379999999996
5,8,51.65275
5,9,52.64857
5,10,65.37794
6,1,68.35228
6,2,21.07665
6,3,23.248720000000002
6,4,17.99706
6,5,30.51556
6,7,20.63754
6,8,26.07073
6,9,30.966990000000003
6,10,43.69636
7,1,64.88433
7,2,3.00696
7,3,4.777819999999999
7,4,31.21816
7,5,43.232879999999994
7,6,18.69529
7,8,12.77312
7,9,11.251100000000001
7,10,24.079159999999998
8,1,39.05675
8,2,20.45105
8,3,17.52597
8,4,40.44611
8,5,52.17182
8,6,26.586419999999997
8,7,12.63274
8,9,4.91272
8,10,14.40083
9,1,38.459360000000004
9,2,21.75143
9,3,9.25681
9,4,41.746480000000005
9,5,53.472199999999994
9,6,31.60659
9,7,11.27762
9,8,4.8141300000000005
9,10,13.80344
10,1,28.48161
10,2,33.454809999999995
10,3,20.72041
10,4,53.44986
10,5,65.17558
10,6,43.30997
10,7,23.68974
10,8,13.94788
10,9,13.60013
