id,name,street,postal_code,city,latitude,longitude
0,Dépôt, 600 Rue des Madeleines,77100, Mareuil-lès-Meaux,48.934926,2.874246
1,PHARMACIE DU CŒUR DE LA BRIE,29-31 Rue de Paris,77320,La Ferté-Gaucher,48.780843,3.304961
2,Pharmacie Victor Hugo,54 Bd Victor Hugo,77220,Gretz-Armainvilliers,48.740468,2.726132
3,Aprium Pharmacie St Soupplets,35 Rue du Bourget,77165,Saint-Soupplets,49.037219,2.804373
4,Pharmacie Saint Georges,1 Rue de la République,77122,Monthyon,49.009659,2.83118
5,Pharmacie du Golf à Bailly-romainvilliers,6 Bd des Sports,77700,Bailly-Romainvilliers,48.849982,2.81965
6,Pharmacie de la Mairie,60 Rue Charles de Gaulle,77720,Mormant,48.60694,2.890953
7,Pharmacie Vauchier,18 Rue du Général de Gaulle,77174,Villeneuve-le-Comte,48.813409,2.829504
8,Pharmacie Centrale de Claye,60 Rue Jean Jaurès,77410,Claye-Souilly,48.945258,2.686254
9,Pharmacie du Haudouin,6 Rue de la Croix Verte,60440,Nanteuil-le-Haudouin,49.13887,2.80958
10,Pharmacie de Magny,40 Rue de la Clef des Champs,77700,Magny-le-Hongre,48.867429,2.813369
11,PHARMACIE DU BEFFROI,9 Rue du Marché,77580,Crécy-la-chapelle,48.857311,2.908697
12,Pharmacie de l'Ourcq,2 Pl. du Marché,77840,Crouy-sur-Ourcq,49.090488,3.075164
13,Pharmacie du Faubourg,58 Rue Fbg Saint-Nicolas,77100,Meaux,48.941582,2.892441
14,Pharmacie Darras,26 Rue Couperin,77390,Chaumes-en-Brie,48.665103,2.840983
15,Pharmacie de Beton-Bazoches,1 Pl. de l'Église Saint-Denis,77320,Beton-Bazoches,48.701927,3.24437
16,Pharmacie des Remparts,6 Rue Charles de Gaulle,60800,Crépy-en-Valois,49.234527,2.887277
17,Pharmacie principale de Mareuil - Elsie Santé,30 mail Grande Haie,77100,Mareuil lès Meaux,48.93615,2.876124
18,Pharmacie de la Gare,3 Rue du Général Leclerc,77450,Esbly,48.900584,2.811949
19,PHARMACIE DE JUILLY,6 Rue de la Source,77230,Juilly,49.014653,2.708968
20,Pharmacie Des Templiers,38 Rue des Caillets,77120,Coulommiers,48.817297,3.091134
