id,name,latitude,longitude
0,Pharmacie Quer,49.051627,2.671449
1,Pharmacie Potellet-Collard,48.616327,3.197391
2,Pharmacie Desabres,49.0045,2.928711
3,PHARMACIE DU PARC,48.94406,2.864255
4,Pharmacie Lefeuvre-Garriot,49.232351,2.879038
5,Pharmacie de l'Olivier,48.886352,2.824806
6,Pharmacie du Pays de l'Ourcq,49.024825,3.020362
7,Pharmacie de Pontcarré,48.796652,2.705915
8,Pharmacie du Faubourg,48.958136,2.884664
9,Pharmacie principale de Mareuil - Elsie Santé,48.93615,2.876124
10,Pharmacie de l'Église,48.957783,2.945737
11,Pharmacie Des Templiers,48.817297,3.091134
12,Pharmacie du Faubourg,48.948053,3.132662
13,Pharmacie Vauchier,48.813409,2.829504
14,PHARMACIE LEFEBVRE TOULET KAREN,48.861924,3.341367
15,Pharmacie wellpharma Principale,48.804265,3.091357
16,Pharmacie des Remparts,49.234527,2.887277
17,Pharmacie de Saint-Jean - Mr et Mme Poisson,48.950984,3.021592
18,Pharmacie de l'Hotel de Ville,48.95022,3.129599
19,Pharmacie Delahaye et Servais,49.156262,2.954138
20,Pharmacie Beaujean Dominique,48.793845,3.023811
21,Pharmacie de St Mard Elsie,49.55403,5.53427
22,Pharmacie Parisot,48.820937,2.958824
23,Pharmacie du Breon,48.711638,2.856476
24,Pharmacie de l'Ourcq,49.09092,3.0755
25,Pharmacie Parapharmacie des Sources,49.07753,2.783077
26,Pharmacie de la Pierre Collinet,48.94793,2.895375
27,Pharmacie d'Ile-de-France,47.781961,3.58356
28,PHARMACIE RATSIMBAZAFY,49.046389,2.662412
29,Pharmacie Dufour,49.172116,2.733907
30,Pharmacie de Boissy,48.825186,3.14417
31,Pharmacie du Centre,48.740117,2.764887
32,Aprium Pharmacie St Soupplets,49.037219,2.804373
33,Pharmacie Khin de St Germain sur Morin,48.881874,2.850669
34,Pharmacie ROSSET,48.957707,2.951751
35,Pharmacie Godart,48.704969,2.87494
36,Pharmacie Branger,48.64315,2.836202
37,Pharmacie du Pont de la Ville,48.812503,3.083268
38,Pharmacie Beauval,48.952374,2.912741
39,Pharmacie Centrale de Claye,48.945258,2.686254
40,Pharmacie Darras,48.665215,2.841935
41,Pharmacie Peda,48.926018,2.71975
42,Pharmacie de la Mairie,48.608933,2.89061
43,Ma Pharmacie de Bailly,48.849982,2.81965
44,Pharmacie Lcce -Pharmacie du centre,48.900584,2.811949
45,Pharmacie De Mouroux,48.826948,3.034279
46,Pharmacie De La Gare,48.793373,2.653159
47,PHARMACIE PRINCIPALE,48.739193,2.743775
48,Pharmacie de Acy en Multien,49.102413,2.954541
